imdb_title_id,year,colors
tt0080724,1980,"[{'color': '#c8c7c5', 'name': 'silver', 'value': 'Grey', 'percent': 7.98}, {'color': '#191213', 'name': 'black', 'value': 'Black', 'percent': 16.32}, {'color': '#968d8c', 'name': 'gray', 'value': 'Grey', 'percent': 9.04}, {'color': '#e2e3e4', 'name': 'gainsboro', 'value': 'Grey', 'percent': 29.88}, {'color': '#584a4a', 'name': 'darkslategray', 'value': 'Grey', 'percent': 36.77}]"
tt0080731,1980,"[{'color': '#57aa93', 'name': 'cadetblue', 'value': 'Green', 'percent': 20.95}, {'color': '#17191a', 'name': 'black', 'value': 'Black', 'percent': 17.84}, {'color': '#efeae3', 'name': 'linen', 'value': 'White', 'percent': 13.72}, {'color': '#4c6c64', 'name': 'dimgray', 'value': 'Grey', 'percent': 35.9}, {'color': '#8dc3b3', 'name': 'darkseagreen', 'value': 'Green', 'percent': 11.57}]"
tt0080736,1980,"[{'color': '#d0d9d1', 'name': 'lightgray', 'value': 'Grey', 'percent': 30.86}, {'color': '#305a7c', 'name': 'darkslateblue', 'value': 'Blue', 'percent': 28.57}, {'color': '#7593ac', 'name': 'lightslategray', 'value': 'Blue', 'percent': 15.26}, {'color': '#c9bb39', 'name': 'goldenrod', 'value': 'Yellow', 'percent': 18.29}, {'color': '#11161c', 'name': 'black', 'value': 'Black', 'percent': 7.01}]"
tt0080739,1980,"[{'color': '#b297ad', 'name': 'darkgray', 'value': 'Purple', 'percent': 18.51}, {'color': '#1e2979', 'name': 'midnightblue', 'value': 'Blue', 'percent': 7.63}, {'color': '#f0ecf3', 'name': 'whitesmoke', 'value': 'Grey', 'percent': 9.2}, {'color': '#22162d', 'name': 'black', 'value': 'Black', 'percent': 14.19}, {'color': '#894c62', 'name': 'dimgray', 'value': 'Brown', 'percent': 50.48}]"
tt0080745,1980,"[{'color': '#0a0804', 'name': 'black', 'value': 'Black', 'percent': 45.93}, {'color': '#bf441b', 'name': 'firebrick', 'value': 'Red', 'percent': 13.21}, {'color': '#ecd4ab', 'name': 'wheat', 'value': 'Orange', 'percent': 14.63}, {'color': '#593d31', 'name': 'darkolivegreen', 'value': 'Brown', 'percent': 13.24}, {'color': '#b58868', 'name': 'rosybrown', 'value': 'Brown', 'percent': 12.98}]"
tt0080749,1980,"[{'color': '#262c59', 'name': 'midnightblue', 'value': 'Blue', 'percent': 14.33}, {'color': '#eef6f7', 'name': 'whitesmoke', 'value': 'Grey', 'percent': 20.74}, {'color': '#386e99', 'name': 'steelblue', 'value': 'Blue', 'percent': 15.59}, {'color': '#0b0618', 'name': 'black', 'value': 'Black', 'percent': 22.6}, {'color': '#89bed1', 'name': 'skyblue', 'value': 'Blue', 'percent': 26.74}]"
tt0080754,1980,"[{'color': '#867a7c', 'name': 'gray', 'value': 'Grey', 'percent': 15.63}, {'color': '#524d4f', 'name': 'darkslategray', 'value': 'Grey', 'percent': 44.37}, {'color': '#b49f9c', 'name': 'darkgray', 'value': 'Grey', 'percent': 20.3}, {'color': '#222527', 'name': 'darkslategray', 'value': 'Black', 'percent': 12.37}, {'color': '#e0d5d1', 'name': 'lightgray', 'value': 'Grey', 'percent': 7.34}]"
tt0080756,1980,"[{'color': '#05070a', 'name': 'black', 'value': 'Black', 'percent': 14.51}, {'color': '#d3c7d2', 'name': 'thistle', 'value': 'Grey', 'percent': 40.59}, {'color': '#6986a2', 'name': 'lightslategray', 'value': 'Blue', 'percent': 8.49}, {'color': '#3d3746', 'name': 'darkslategray', 'value': 'Grey', 'percent': 24.6}, {'color': '#c45a5e', 'name': 'indianred', 'value': 'Red', 'percent': 11.81}]"
tt0080790,1980,"[{'color': '#f2f1ec', 'name': 'linen', 'value': 'White', 'percent': 22.42}, {'color': '#615f5c', 'name': 'dimgray', 'value': 'Grey', 'percent': 24.39}, {'color': '#201917', 'name': 'black', 'value': 'Black', 'percent': 30.84}, {'color': '#b6b5b5', 'name': 'silver', 'value': 'Grey', 'percent': 13.3}, {'color': '#8b8a8a', 'name': 'gray', 'value': 'Grey', 'percent': 9.04}]"
tt0080798,1980,"[{'color': '#d4bbad', 'name': 'silver', 'value': 'Grey', 'percent': 22.67}, {'color': '#2c2d32', 'name': 'darkslategray', 'value': 'Black', 'percent': 27.42}, {'color': '#2d98ce', 'name': 'steelblue', 'value': 'Blue', 'percent': 20.43}, {'color': '#030303', 'name': 'black', 'value': 'Black', 'percent': 8.43}, {'color': '#216585', 'name': 'teal', 'value': 'Blue', 'percent': 21.04}]"
