imdb_title_id,year,genre,faces
tt2201548,2013,"['Drama', 'Romance']",0
tt2205401,2014,"['Drama', 'Thriller']",0
tt2205948,2012,"['Animation', 'Drama', 'Fantasy']",0
tt2207006,2012,"['Comedy', 'Drama']",1
tt2209418,2013,"['Drama', 'Romance']",0
tt2209764,2014,"['Drama', 'Sci-Fi', 'Thriller']",1
tt2212008,2014,"['Action', 'Crime', 'Drama']",3
tt2213054,2013,"['Drama', 'Sport']",0
tt2215366,2012,['Thriller'],0
tt2215477,2013,"['Drama', 'Musical', 'Romance']",0
tt2217458,2013,"['Biography', 'Drama', 'Romance']",0
tt2218003,2013,"['Crime', 'Drama', 'Mystery']",3
tt2223990,2014,"['Drama', 'Sport']",1
tt2224004,2013,"['Thriller', 'Western']",0
tt2224317,2013,"['Drama', 'Romance']",0
tt2226417,2013,"['Horror', 'Mystery', 'Thriller']",0
tt2226519,2013,"['Drama', 'Music', 'Romance']",2
tt2229499,2013,"['Comedy', 'Drama', 'Romance']",1
tt2229842,2013,"['Adventure', 'Thriller']",2
tt2231138,2013,['Drama'],1
tt2234003,2014,['Drama'],0
tt2234155,2013,['Comedy'],0
tt2235108,2014,"['Comedy', 'Drama', 'Romance']",0
tt2235779,2014,"['Horror', 'Mystery', 'Thriller']",0
tt2238050,2014,"['Drama', 'Mystery', 'Thriller']",0
tt2238839,2012,"['Comedy', 'Romance']",2
tt2239832,2014,"['Comedy', 'Romance']",1
tt2241069,2012,"['Horror', 'Thriller']",0
tt2241750,2015,"['Drama', 'Romance', 'Sport']",0
tt2243389,2013,['Comedy'],0
tt2244901,2013,"['Comedy', 'Romance']",0
tt2245003,2015,"['Comedy', 'Drama', 'Romance']",1
tt2245084,2014,"['Animation', 'Action', 'Adventure']",0
tt2246724,2013,"['Comedy', 'Crime', 'Thriller']",2
tt2247432,2013,"['Crime', 'Drama', 'Thriller']",0
tt2247476,2014,"['Drama', 'Sport']",1
tt2261409,2013,['Comedy'],4
tt2265171,2014,"['Action', 'Crime', 'Thriller']",1
tt2265398,2013,"['Comedy', 'Drama', 'Romance']",2
tt2266938,2012,['Comedy'],2
tt2267998,2014,"['Drama', 'Mystery', 'Thriller']",0
tt2268016,2015,"['Comedy', 'Drama', 'Music']",0
tt2271641,2012,"['Action', 'Thriller']",2
tt2272336,2013,"['Comedy', 'Horror']",1
tt2273657,2015,"['Crime', 'Drama', 'Mystery']",0
tt2274570,2013,"['Comedy', 'Horror']",0
tt2275471,2013,"['Drama', 'Romance']",0
tt2275794,2013,"['Comedy', 'Drama', 'Romance']",2
tt2275802,2013,['Drama'],5
tt2278388,2014,"['Adventure', 'Comedy', 'Crime']",0
tt2278871,2013,"['Drama', 'Romance']",0
tt2279339,2015,"['Comedy', 'Fantasy', 'Romance']",0
tt2279373,2015,"['Animation', 'Adventure', 'Comedy']",0
tt2281159,2013,"['Drama', 'Horror', 'Thriller']",0
tt2281587,2014,"['Adventure', 'Comedy', 'Crime']",0
tt2290739,2014,"['Horror', 'Thriller']",0
tt2292625,2012,"['Action', 'Drama', 'Thriller']",3
tt2292959,2013,"['Drama', 'Thriller']",0
tt2293640,2015,"['Animation', 'Adventure', 'Comedy']",0
tt2294449,2014,"['Action', 'Comedy', 'Crime']",0
tt2294629,2013,"['Animation', 'Adventure', 'Comedy']",0
tt2294677,2013,['Comedy'],0
tt2294965,2013,"['Comedy', 'Drama']",0
tt2295722,2014,"['Action', 'Adventure', 'Crime']",0
tt2296697,2013,['Drama'],0
tt2298394,2014,"['Comedy', 'Drama']",0
tt2301155,2013,"['Action', 'Crime']",1
tt2302755,2013,"['Action', 'Thriller']",3
tt2304426,2013,['Drama'],0
tt2304459,2014,"['Drama', 'Family', 'Sport']",0
tt2304771,2013,"['Biography', 'Drama', 'History']",0
tt2309021,2013,"['Drama', 'Horror', 'Thriller']",3
tt2309048,2012,"['Action', 'Comedy']",2
tt2309260,2015,"['Horror', 'Mystery', 'Thriller']",0
tt2309764,2014,"['Action', 'Drama']",1
tt2310332,2014,"['Adventure', 'Fantasy']",0
tt2311428,2015,"['Mystery', 'Thriller']",1
tt2312890,2013,"['Comedy', 'Drama']",0
tt2315152,2012,"['Fantasy', 'Romance']",0
tt2316868,2014,"['Biography', 'Drama', 'History']",0
tt2317337,2012,"['Comedy', 'Romance']",1
tt2318527,2013,"['Comedy', 'Horror']",0
tt2321163,2013,"['Drama', 'Music']",0
tt2321549,2014,"['Drama', 'Horror']",0
tt2322441,2015,"['Drama', 'Romance', 'Thriller']",0
tt2325977,2015,"['Drama', 'Mystery', 'Thriller']",0
tt2326554,2014,"['Drama', 'Horror']",0
tt2326574,2014,"['Drama', 'Music']",4
tt2326612,2014,"['Crime', 'Drama', 'Mystery']",0
tt2330866,2012,"['Action', 'Comedy', 'Crime']",0
tt2331880,2012,['Drama'],0
tt2332579,2013,"['Adventure', 'Comedy', 'Drama']",1
tt2333784,2014,"['Action', 'Adventure', 'Thriller']",0
